availability,brand,category,currency,current_price,delivery_estimate,description,dimensions,discount_percentage,features,is_complete,last_updated,model_number,original_price,platform,product_id,product_image_url,product_name,product_rating,product_reviews_count,product_url,scraped_at,scraping_errors,seller_name,seller_rating,seller_reviews_count,shipping_info,sku,specifications,subcategory,tags,weight
,,,INR,43.32,,,,24.0,,True,,,57.0,BigBasket,40324709,,"fresho! Banana - Yelakki, 250 g",,,https://www.bigbasket.com/pd/40324709/fresho-banana-yelakki-250-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=1&t_s=Banana%2520-%2520Yelakki,2025-08-21T04:18:59.684903,,,,,,,,,,
,,,INR,96.8,,,,12.0,,True,,,110.0,BigBasket,60000053,,"fresho! Banana - Poovan, 1 kg",,,https://www.bigbasket.com/pd/60000053/fresho-banana-poovan-1-kg/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=5&t_s=Banana%2520-%2520Poovan,2025-08-21T04:19:00.012625,,,,,,,,,,
,,,INR,100.0,,,,0.0,,True,,,100.0,BigBasket,40031024,,"Balaji foods Banana Chips - Salted, 200 g",,,https://www.bigbasket.com/pd/40031024/balaji-foods-chips-banana-salted-200-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=20&t_s=Banana%2520Chips%2520-%2520Salted,2025-08-21T04:19:02.681223,,,,,,,,,,
,,,INR,163.5,,,,21.0,,True,,,208.0,BigBasket,50000457,,"fresho! Banana - Yelakki, Organically Grown, 1 kg",,,https://www.bigbasket.com/pd/50000457/fresho-banana-yelakki-organically-grown-1-kg/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=4&t_s=Banana%2520-%2520Yelakki%252C%2520Organically%2520Grown,2025-08-21T04:19:02.811069,,,,,,,,,,
,,,INR,73.6,,,,20.0,,True,,,92.0,BigBasket,40023475,,"fresho! Banana - Robusta, Organically Grown, 1 kg",,,https://www.bigbasket.com/pd/40023475/fresho-banana-robusta-organically-grown-1-kg/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=19&t_s=Banana%2520-%2520Robusta%252C%2520Organically%2520Grown,2025-08-21T04:19:05.052794,,,,,,,,,,
,,,INR,64.24,,,,12.0,,True,,,73.0,BigBasket,40272109,,"fresho! Banana Leaves With Stem, 1 pc (Approx. 1.5 kg to 3 kg)",,,https://www.bigbasket.com/pd/40272109/fresho-banana-plant-rich-in-fibre-1-pc/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=3&t_s=Banana%2520Leaves%2520With%2520Stem,2025-08-21T04:19:05.501606,,,,,,,,,,
,,,INR,40.28,,,,24.0,,True,,,53.0,BigBasket,10000339,,"fresho! Banana Flower (Loose), 1 pc",,,https://www.bigbasket.com/pd/10000339/fresho-banana-flower-1-pc/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=18&t_s=Banana%2520Flower%2520%2528Loose%2529,2025-08-21T04:19:07.229716,,,,,,,,,,
,,,INR,43.5,,,,47.0,,True,,,82.0,BigBasket,40179390,,"fresho! Banana - Robusta, Small, 1 kg (Approx. 10 -12 pcs)",,,https://www.bigbasket.com/pd/40179390/fresho-baby-banana-robusta-1-kg/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=2&t_s=Banana%2520-%2520Robusta%252C%2520Small,2025-08-21T04:19:08.084980,,,,,,,,,,
,,,INR,31.68,,,,12.0,,True,,,36.0,BigBasket,10000028,,"fresho! Banana Stem (Loose), 1 pc",,,https://www.bigbasket.com/pd/10000028/fresho-banana-stem-1-pc/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=17&t_s=Banana%2520Stem%2520%2528Loose%2529,2025-08-21T04:19:08.472755,,,,,,,,,,
,,,INR,17.6,,,,12.0,,True,,,20.0,BigBasket,20000737,,"fresho! Banana - Raw Green (Loose), 1 pc",,,https://www.bigbasket.com/pd/20000737/fresho-banana-raw-green-1-pc/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=16&t_s=Banana%2520-%2520Raw%2520Green%2520%2528Loose%2529,2025-08-21T04:19:11.162658,,,,,,,,,,
