availability,brand,category,currency,current_price,delivery_estimate,description,dimensions,discount_percentage,features,is_complete,last_updated,model_number,original_price,platform,product_id,product_image_url,product_name,product_rating,product_reviews_count,product_url,scraped_at,scraping_errors,seller_name,seller_rating,seller_reviews_count,shipping_info,sku,specifications,subcategory,tags,weight
In stock,Visit the I-know Store,›,INR,299.0,,,,46.0,"The LH is in the urine of normal women increases in the middle of the menstrual cycle.,Designed for ""Trying to conceive” women to get pregnant naturally.,This easy to use ovulation home LH Testing Kit test helps tracking ovulation surge with sufficient tests and minimize the chances missing the LH Surge",True,,,59.8,Amazon,B00EAH9816,https://m.media-amazon.com/images/I/41rBclJqjqL._SX300_SY300_QL70_ML2_.jpg,i Know Ovulation Test Kit for Women Planning Pregnancy by Piramal Pharma | Fertility Test Kit for Accurate Results In 5 Mins | Identifies 5 Most Fertile Days to Conceive | 5 Test Strips x Pack of 1,3.9,11566,https://www.amazon.in/Ovulation-Planning-Pregnancy-Predictor-Fertility/dp/B00EAH9816/ref=sr_1_5?dib=eyJ2IjoiMSJ9.mzr727yMxAbYmfXOIRYOvV59ooYF2lj-KNhx9AGrEjC-wwVB8upZ5H4EEy4jqDWmOOzOM9ciU_2yqa5T481heiqrOsjZ9KN0YI5OcXf8ACwmKdWUA6wNB0BiwKqNS0byTbw6IzYTrfpbV42VmP5s07B0aYBMsQOV5U3CN-54VJ-1-p6FqIOGJcuMeTAMeIRR2rPoUQd6_nGukRXDEFIPu-Fh5uaMiuoePvd8Gunywej2NooijWr4ms3cev6FKrWumakwG0aaAusfAELWyDtfusbWLyfgIEIE-9PNEahYrXs.W8Mwqz-WvraHxiJx0pzmC7z1O-YnqTgwoMnONgIQ010&dib_tag=se&keywords=test&qid=1755748586&sr=8-5,2025-08-21T03:57:27.239288,,,,,,,"{'Manufacturer': '\u200eI-know', 'Country of Origin': '\u200eIndia', 'Item part number': '\u200eolive1', 'Product Dimensions': '\u200e6 x 1.6 x 16 cm; 50 g', 'ASIN': '\u200eB00EAH9816'}",›,,
,,›,INR,0.0,,,,0.0,,True,,,199.0,Amazon,B0DGVSLMJ1,https://m.media-amazon.com/images/I/41piUc0zp6L._SY445_SX342_QL70_ML2_.jpg,Test Cricket: A History,4.6,58,https://www.amazon.in/Audible-Test-Cricket-A-History/dp/B0DGVSLMJ1/ref=sr_1_14?dib=eyJ2IjoiMSJ9.mzr727yMxAbYmfXOIRYOvV59ooYF2lj-KNhx9AGrEjC-wwVB8upZ5H4EEy4jqDWmOOzOM9ciU_2yqa5T481heiqrOsjZ9KN0YI5OcXf8ACwmKdWUA6wNB0BiwKqNS0byTbw6IzYTrfpbV42VmP5s07B0aYBMsQOV5U3CN-54VJ-1-p6FqIOGJcuMeTAMeIRR2rPoUQd6_nGukRXDEFIPu-Fh5uaMiuoePvd8Gunywej2NooijWr4ms3cev6FKrWumakwG0aaAusfAELWyDtfusbWLyfgIEIE-9PNEahYrXs.W8Mwqz-WvraHxiJx0pzmC7z1O-YnqTgwoMnONgIQ010&dib_tag=se&keywords=test&qid=1755748586&sr=8-14,2025-08-21T03:57:29.814878,,,,,,,,›,,
,by,›,INR,418.0,,,,44.0,,True,,,745.5,Amazon,B0D839JC73,https://m.media-amazon.com/images/I/419vTZJIqNL._SY445_SX342_.jpg,Test Cricket: A History,4.6,58,https://www.amazon.in/Test-Cricket-Definitive-History-Today-ebook/dp/B0D839JC73/ref=sr_1_14?dib=eyJ2IjoiMSJ9.mzr727yMxAbYmfXOIRYOvV59ooYF2lj-KNhx9AGrEjC-wwVB8upZ5H4EEy4jqDWmOOzOM9ciU_2yqa5T481heiqrOsjZ9KN0YI5OcXf8ACwmKdWUA6wNB0BiwKqNS0byTbw6IzYTrfpbV42VmP5s07B0aYBMsQOV5U3CN-54VJ-1-p6FqIOGJcuMeTAMeIRR2rPoUQd6_nGukRXDEFIPu-Fh5uaMiuoePvd8Gunywej2NooijWr4ms3cev6FKrWumakwG0aaAusfAELWyDtfusbWLyfgIEIE-9PNEahYrXs.W8Mwqz-WvraHxiJx0pzmC7z1O-YnqTgwoMnONgIQ010&dib_tag=se&keywords=test&qid=1755748586&sr=8-14,2025-08-21T03:57:31.745536,,,,,,,,›,,
In stock,by,›,INR,670.0,,,,25.0,,True,,,899.0,Amazon,1529428629,https://m.media-amazon.com/images/I/41VaWk74NhL._SY445_SX342_.jpg,Test Cricket: A History,4.6,58,https://www.amazon.in/Test-Cricket-Biography-Story-Today/dp/1529428629/ref=sr_1_14?dib=eyJ2IjoiMSJ9.mzr727yMxAbYmfXOIRYOvV59ooYF2lj-KNhx9AGrEjC-wwVB8upZ5H4EEy4jqDWmOOzOM9ciU_2yqa5T481heiqrOsjZ9KN0YI5OcXf8ACwmKdWUA6wNB0BiwKqNS0byTbw6IzYTrfpbV42VmP5s07B0aYBMsQOV5U3CN-54VJ-1-p6FqIOGJcuMeTAMeIRR2rPoUQd6_nGukRXDEFIPu-Fh5uaMiuoePvd8Gunywej2NooijWr4ms3cev6FKrWumakwG0aaAusfAELWyDtfusbWLyfgIEIE-9PNEahYrXs.W8Mwqz-WvraHxiJx0pzmC7z1O-YnqTgwoMnONgIQ010&dib_tag=se&keywords=test&qid=1755748586&sr=8-14,2025-08-21T03:57:35.319388,,,,,,,,›,,
In stock,Visit the KONVIO NEER Store,›,INR,189.0,,,,62.0,"Easy To Use & Get The pH Result in a Second, pH paper is giving you a quick way to estimate the pH of a solution without any expensive equipment or pre-calibration, even for somebody with little or even no chemistry background can get the results immediately.,pH 1-14 Color chart in each pack. Litmus Paper test strips change color within 2-3 seconds, to be matched with the pH scale color chart,Improved Sensitive, extremely accurate pH balance test strips measure pH range from 4.5 to 10.0, providing better data than cheap strips with limited range, best quality pH test strips,Suitable for all kinds of testing, laboratory / cosmetic testing / drinking water / saliva / urine, etc.,A useful tool of science activity, as well as in the classroom environment. Use by children must be under the tutelage of adults.",True,,,499.0,Amazon,B08RCMY27F,https://m.media-amazon.com/images/I/41f4ahEidlL._SY445_SX342_QL70_ML2_.jpg,"Konvio Neer Full pH 1-14 Test Indicator Litmus pH Paper, ph Meter, Litmus Paper for Water Testing, Water and Soil testing with 80 Strips, 1-14 Test Indicators, pH Strip(80 Strips)",4.0,3817,https://www.amazon.in/Konvio-Indicator-Testing-testing-Indicators/dp/B08RCMY27F/ref=sr_1_13?dib=eyJ2IjoiMSJ9.mzr727yMxAbYmfXOIRYOvV59ooYF2lj-KNhx9AGrEjC-wwVB8upZ5H4EEy4jqDWmOOzOM9ciU_2yqa5T481heiqrOsjZ9KN0YI5OcXf8ACwmKdWUA6wNB0BiwKqNS0byTbw6IzYTrfpbV42VmP5s07B0aYBMsQOV5U3CN-54VJ-1-p6FqIOGJcuMeTAMeIRR2rPoUQd6_nGukRXDEFIPu-Fh5uaMiuoePvd8Gunywej2NooijWr4ms3cev6FKrWumakwG0aaAusfAELWyDtfusbWLyfgIEIE-9PNEahYrXs.W8Mwqz-WvraHxiJx0pzmC7z1O-YnqTgwoMnONgIQ010&dib_tag=se&keywords=test&qid=1755748586&sr=8-13,2025-08-21T03:57:38.085852,,,,,,,"{'Brand': '\u200eKONVIO NEER', 'Ph Range': '\u200e1-14', 'Recommended Uses For Product': '\u200eWater Testing,Soil Testing,Urine Testing,Saliva Testing,Laboratory Testing,Cosmetic Testing,Educational Purposes,Drinking Water Testing,Soap Ph Testing,Lemon Juice Ph Testing,Milk Ph Testing,Detergent Ph Testing,Sweat Ph Testing', 'Test type': '\u200e["" Water,Soil,Urine,Saliva,Cosmetic ,Drinking Water,Soap,Lemon Juice  Milk, Detergent,Sweat""]', 'Net Quantity': '\u200e1 Count', 'Manufacturer': '\u200eKonvio RO Systems Private Limited', 'Material': '\u200eKon_pH_Strip', 'Country of Origin': '\u200eIndia', 'Model number': '\u200eKon_pH_Strip', 'Colour': '\u200epH Strip', 'Number of Memory Sticks': '\u200e1', 'Item Weight': '\u200e200 g', 'Product Dimensions': '\u200e20 x 10 x 10 cm; 200 g', 'Item model number': '\u200eKon_pH_Strip', 'Item Height': '\u200e10 Centimeters', 'Item Width': '\u200e10 Centimeters', 'Included Components': '\u200epH meter', 'Are batteries included?': '\u200eYes'}",›,,
In stock,Visit the OneTouch Store,›,INR,670.0,,,,4.0,"Simple and so much more: The OneTouch Verio Flex Glucometer is simple to use, easy to understand, accurate and offers virtually pain free testing. This blood sugar test machine seamlessly syncs your blood glucose readings with the OneTouch Reveal mobile app.",True,,,26.8,Amazon,B0B1HYSQ8W,https://m.media-amazon.com/images/I/41DT45tuZjL._SY445_SX342_QL70_ML2_.jpg,OneTouch Verio Test Strips | Pack of 25 Strips | Blood Sugar Test Machine Testing Strips | Global Iconic Brand | For use with OneTouch Verio Flex Glucometer,,,https://www.amazon.in/OneTouch-Verio-Test-Strip-Pack/dp/B0B1HYSQ8W/ref=sr_1_12?brandId=berry&dib=eyJ2IjoiMSJ9.mzr727yMxAbYmfXOIRYOvV59ooYF2lj-KNhx9AGrEjC-wwVB8upZ5H4EEy4jqDWmOOzOM9ciU_2yqa5T481heiqrOsjZ9KN0YI5OcXf8ACwmKdWUA6wNB0BiwKqNS0byTbw6IzYTrfpbV42VmP5s07B0aYBMsQOV5U3CN-54VJ-1-p6FqIOGJcuMeTAMeIRR2rPoUQd6_nGukRXDEFIPu-Fh5uaMiuoePvd8Gunywej2NooijWr4ms3cev6FKrWumakwG0aaAusfAELWyDtfusbWLyfgIEIE-9PNEahYrXs.W8Mwqz-WvraHxiJx0pzmC7z1O-YnqTgwoMnONgIQ010&dib_tag=se&keywords=test&qid=1755748586&sr=8-12,2025-08-21T03:57:39.967722,,,,,,,,›,,
In stock,Visit the Easy@Home Store,›,INR,309.0,,,,,"Accurate, early pregnancy hCG test strips; most cost effective, powered by intelligent Premom app to get pregnant naturally,Easy to Test: simply dip the test in your urine for approximately 5-10 seconds, until the dye rises into the result window,Easy to read: Two lines mean “pregnant”, and one line means “not pregnant”; No more guessing,Early Detection: Pregnancy tests detect HCG levels as low as 10 mIU/mL in just 5 minutes,Convenient Packaing: Pregnancy is detectable before the expected period. Each test is sealed in an individual pouch",True,,,309.0,Amazon,B0DPWZSVHM,https://m.media-amazon.com/images/I/41eO7cRY0xL._SX300_SY300_QL70_ML2_.jpg,"Easy@Home Pregnancy Test Strips Kit, 5 Pack Early Detection hCG Tests - Powered by Premom Ovulation Predictor iOS and Android APP",4.4,15938,https://www.amazon.in/Easy-Home-Pregnancy-Strips-Detection/dp/B0DPWZSVHM/ref=sr_1_11?dib=eyJ2IjoiMSJ9.mzr727yMxAbYmfXOIRYOvV59ooYF2lj-KNhx9AGrEjC-wwVB8upZ5H4EEy4jqDWmOOzOM9ciU_2yqa5T481heiqrOsjZ9KN0YI5OcXf8ACwmKdWUA6wNB0BiwKqNS0byTbw6IzYTrfpbV42VmP5s07B0aYBMsQOV5U3CN-54VJ-1-p6FqIOGJcuMeTAMeIRR2rPoUQd6_nGukRXDEFIPu-Fh5uaMiuoePvd8Gunywej2NooijWr4ms3cev6FKrWumakwG0aaAusfAELWyDtfusbWLyfgIEIE-9PNEahYrXs.W8Mwqz-WvraHxiJx0pzmC7z1O-YnqTgwoMnONgIQ010&dib_tag=se&keywords=test&qid=1755748586&sr=8-11,2025-08-21T03:57:42.280280,,,,,,,"{'Manufacturer': '\u200eEasy Healthcare Corporation', 'Country of Origin': '\u200eChina', 'Item part number': '\u200eEZW1-S-5', 'Product Dimensions': '\u200e12 x 0.5 x 6 cm; 44 g', 'ASIN': '\u200eB0DPWZSVHM'}",›,,
In stock,Visit the Dr. Morepen Store,›,INR,349.0,,,,30.0,"Fast Results in 5 Seconds,Small Blood Volume, 0.5ul only,Biosensor Technology,For in vitro diagnostic use only,Discard any remaining test strips 3 months after first opening the vial.",True,,,13.96,Amazon,B0B4SM2TLT,https://m.media-amazon.com/images/I/41ThbhBWWzL._SY445_SX342_QL70_ML2_.jpg,DR. MOREPEN GLUCO-ONE BG-03 BLOOD GLUCOSE 25 TEST STRIPS ONLY,3.0,2,https://www.amazon.in/Morepen-BG-03-Blood-Glucose-Strips/dp/B0B4SM2TLT/ref=sr_1_10?brandId=berry&dib=eyJ2IjoiMSJ9.mzr727yMxAbYmfXOIRYOvV59ooYF2lj-KNhx9AGrEjC-wwVB8upZ5H4EEy4jqDWmOOzOM9ciU_2yqa5T481heiqrOsjZ9KN0YI5OcXf8ACwmKdWUA6wNB0BiwKqNS0byTbw6IzYTrfpbV42VmP5s07B0aYBMsQOV5U3CN-54VJ-1-p6FqIOGJcuMeTAMeIRR2rPoUQd6_nGukRXDEFIPu-Fh5uaMiuoePvd8Gunywej2NooijWr4ms3cev6FKrWumakwG0aaAusfAELWyDtfusbWLyfgIEIE-9PNEahYrXs.W8Mwqz-WvraHxiJx0pzmC7z1O-YnqTgwoMnONgIQ010&dib_tag=se&keywords=test&qid=1755748586&sr=8-10,2025-08-21T03:57:44.618693,,,,,,,,›,,
In stock,Visit the OneTouch Store,›,INR,1180.0,,,,5.0,"For use with: Only OneTouch Verio test strips can be used with the OneTouch Verio Flex blood sugar testing machine which was rated as Best Standard Glucose meters of 2022 by Forbes Health.,Simple and so much more: The OneTouch Verio Flex Glucometer is simple to use, easy to understand, accurate and offers virtually pain free testing. This blood sugar test machine seamlessly syncs your blood glucose readings with the OneTouch Reveal mobile app.,No.1 recommended brand by Diabetologists: The OneTouch brand is the No.1 recommended brand of glucometer by diabetologists in India. *As per a survey conducted in India in 2025 with 150 Diabetologists.,Accuracy you can trust: This blood sugar test machine has 11 years of proven accuracy and meets the latest requirements of EN ISO 15197:2015. (EN ISO 15197: 2015 In vitro diagnostic test systems â€“ Requirements for blood-glucose monitoring systems for self-testing in managing diabetes mellitus (ISO 15197:2013).,Uses advanced technology: The OneTouch Verio test strip design uses precious metals, gold and palladium to give you accurate readings. SmartScan technology on this test strip actively scans each sample 500 times correcting for common interferences to provide an accurate reading. *Corrects for the presence of certain substances that commonly interfere with accurate blood glucose results, such as acetaminophen and Vitamin C.",True,,,1245.0,Amazon,B0B4SGLLYH,https://m.media-amazon.com/images/I/41NIE8Dp07L._SY445_SX342_QL70_ML2_.jpg,OneTouch Verio Test Strips | Pack of 50 Strips | For Use With One Touch Verio Flex Glucometer,5.0,1,https://www.amazon.in/OneTouch-Verio-Test-Strip-Pack/dp/B0B4SGLLYH/ref=sr_1_9?brandId=berry&dib=eyJ2IjoiMSJ9.mzr727yMxAbYmfXOIRYOvV59ooYF2lj-KNhx9AGrEjC-wwVB8upZ5H4EEy4jqDWmOOzOM9ciU_2yqa5T481heiqrOsjZ9KN0YI5OcXf8ACwmKdWUA6wNB0BiwKqNS0byTbw6IzYTrfpbV42VmP5s07B0aYBMsQOV5U3CN-54VJ-1-p6FqIOGJcuMeTAMeIRR2rPoUQd6_nGukRXDEFIPu-Fh5uaMiuoePvd8Gunywej2NooijWr4ms3cev6FKrWumakwG0aaAusfAELWyDtfusbWLyfgIEIE-9PNEahYrXs.W8Mwqz-WvraHxiJx0pzmC7z1O-YnqTgwoMnONgIQ010&dib_tag=se&keywords=test&qid=1755748586&sr=8-9,2025-08-21T03:57:46.587408,,,,,,,,›,,
In stock,Visit the Easy@Home Store,›,INR,549.0,,,,11.0,"10 LH- Luteinizing Hormone Strips(Predicts most fertile window) Specially designed for women who are ""Trying to conceive” to get pregnant naturally:Easy@Home ovulation tests give women a greater chance of predicting their most fertile days, even if their cycle lengths are variable,Easy to Use: Dip the test, check and compare the control line & test line and snap a picture. Easily scan the test on the Premom APP using your phone camera. The inbuilt image recognition software automatically aligns the picture of your valid test results for visible advance tracking and helps find your high/peak fertile days. You can track and view your cycle, fertility window, and predictions anytime. There is no need to keep the old urine test results anymore!,Easy to Read: A positive result is indicated by a test line that is as dark as or darker than the control line (C). On the other hand, a negative result is indicated by a test line that is lighter than the control line. Clear and solid lines help to pick up the most fertile time without guessing,Accurate and Reliable: Levels of LH as low as 25 mIU/ml can be detected within 5 to 10 minutes. Accurate at detecting your LH surge,Experience peace of mind with Easy@Home. Our products have helped millions of families achieve their dreams of having a baby quickly and easily. We are committed to providing high-quality products and excellent customer service",True,,,54.9,Amazon,B0DPX67G5T,https://m.media-amazon.com/images/I/41DmwTsnzvL._SX300_SY300_QL70_ML2_.jpg,"Easy@Home Ovulation Test Strips For Women, 10 Pack Fertility Tests, Ovulation Predictor Kit, Powered by Premom Ovulation Predictor iOS and Android App",4.6,16009,https://www.amazon.in/Easy-Home-Ovulation-Fertility-Predictor/dp/B0DPX67G5T/ref=sr_1_8?dib=eyJ2IjoiMSJ9.mzr727yMxAbYmfXOIRYOvV59ooYF2lj-KNhx9AGrEjC-wwVB8upZ5H4EEy4jqDWmOOzOM9ciU_2yqa5T481heiqrOsjZ9KN0YI5OcXf8ACwmKdWUA6wNB0BiwKqNS0byTbw6IzYTrfpbV42VmP5s07B0aYBMsQOV5U3CN-54VJ-1-p6FqIOGJcuMeTAMeIRR2rPoUQd6_nGukRXDEFIPu-Fh5uaMiuoePvd8Gunywej2NooijWr4ms3cev6FKrWumakwG0aaAusfAELWyDtfusbWLyfgIEIE-9PNEahYrXs.W8Mwqz-WvraHxiJx0pzmC7z1O-YnqTgwoMnONgIQ010&dib_tag=se&keywords=test&qid=1755748586&sr=8-8,2025-08-21T03:57:49.601032,,,,,,,"{'Manufacturer': '\u200eGuangzhou Wondfo Biotech Co., Ltd', 'Item part number': '\u200eEZW2-S-10', 'Product Dimensions': '\u200e11.5 x 5.7 x 1 cm; 39 g', 'ASIN': '\u200eB0DPX67G5T'}",›,,
